Id,Designator,Package,Quantity,Designation,Supplier and ref
1,J1,PinSocket_1x08_P2.54mm_Vertical_Clear,1,Conn Side,"Any, optional"
2,J4,PinSocket_1x08_P2.54mm_Vertical_Clear,1,Conn Prog,"Any, optional"
3,J2,PinHeader_1x12_P2.54mm_Vertical_Clear,1,Conn Down,"Any, optional"
4,J3,PinHeader_1x12_P2.54mm_Vertical_Clear,1,Conn Up,"Any, optional"
5,SW1,SW_SPST_CK_RS282G05A3,1,SW_Reset,https://www.aliexpress.com/item/100PCS-3X6X2-5mm-Tactile-Push-Button-Switch-Tact-Switch-Micro-Switch-2-Pin-SMD/32672806661.html
6,U2,RFM69CW-XXXS2,1,RFM69,Any
7,C1,C_0603_1608Metric,1,1uF,Any
8,"C2,C3,C4,C5",C_0603_1608Metric,4,0.1uF,Any
9,C6,C_0603_1608Metric,1,10uF,Any
10,C7,C_0603_1608Metric,1,100nF,Any
11,"C8,C9",C_0603_1608Metric,2,10pF,Any
12,"R1,R2",R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,2,10K,Any
13,"R3,R4",R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,2,100K,Any
14,U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,STM32F103C8T6 or STM32F103CBT6
15,Y1,Seeedstudio-32kHz_Crystal-FC135,1,32768 Crystal,https://www.aliexpress.com/item/10PCS-FC-135-32-768K-32-768KHZ-3215-2PIN-SMD-Crystal-Oscillator/32861665912.html
16,J5,U.FL_Molex_MCRF_73412-0110_Vertical,1,u.FL,https://www.aliexpress.com/item/Free-Shipping-50PCS-U-FL-R-SMT-U-FL-socket-IPEX-IPX-connectors-RF-Coaxial-Connector/32872904554.html
17,SW2,SW_SPST_CK_RS282G05A3,1,SW_BOOT,https://www.aliexpress.com/item/100PCS-3X6X2-5mm-Tactile-Push-Button-Switch-Tact-Switch-Micro-Switch-2-Pin-SMD/32672806661.html
18,Y2,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm,1,8Mhz,https://www.aliexpress.com/item/10PCS-CSTCE8M0V53-R0-SMD-8MHZ-8-00MHZ-CSTCE8-000M-3-20x1-30mm-Crystal-Ceramic-Resonators/32450966424.html
19,U3,HOPERF_RFM69HW,1,RFM69HW,Any
20,JP1,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,1,VBAT Jumper,"None, part of the pcb"
